place_id,type
ChIJ-1IbBmGCRo4RpY5njdWV_0M,art_gallery
ChIJ-5iJ83iCRo4RfDv9AusSg8Y,restaurant
ChIJ-5U1CTWDRo4Rq225QIQCdTU,restaurant
ChIJ-63vYOUpRI4RUSOyAzRl9X8,night_club
ChIJ-6ntz-qCRo4RdoGDksNP9VM,park
ChIJ-8XP5ikoRI4RbGXZfyvahi4,bar
ChIJ-8XP5ikoRI4RbGXZfyvahi4,restaurant
ChIJ-bKp832CRo4RvY-77_5PkOY,restaurant
ChIJ-dmt-YCCRo4RrTjzhjL0mns,bar
ChIJ-dmt-YCCRo4RrTjzhjL0mns,meal_takeaway
ChIJ-dmt-YCCRo4RrTjzhjL0mns,restaurant
ChIJ-enU0UWDRo4RS6prCfOlQkY,restaurant
ChIJ-fNBs2wpRI4RvIBO8cksDLg,restaurant
ChIJ-TnstaGDRo4RFVjrMySUyzM,cafe
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,bar
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,cafe
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,restaurant
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,store
ChIJ-xyNYwCDRo4RGfJJECi-qaA,cafe
ChIJ-xyNYwCDRo4RGfJJECi-qaA,store
ChIJ-ZOOUUkpRI4RFjporsL3h2U,bar
ChIJ-ZOOUUkpRI4RFjporsL3h2U,cafe
ChIJ-ZOOUUkpRI4RFjporsL3h2U,restaurant
ChIJ-ZOOUUkpRI4RFjporsL3h2U,store
ChIJ01N_mJCCRo4RyagqbQ6tYZA,restaurant
ChIJ01zQYxmDRo4RFbcFkK-A0-w,cafe
ChIJ01zQYxmDRo4RFbcFkK-A0-w,store
ChIJ06uOfyeDRo4RZkNLGUDHfdk,cafe
ChIJ09cPPigoRI4RV1Dz2mfvQDI,art_gallery
ChIJ0cMxiykoRI4RleNFm5yaIjw,bar
ChIJ0cMxiykoRI4RleNFm5yaIjw,restaurant
ChIJ0de-SxiDRo4R8xQje9tRjI0,night_club
ChIJ0dh4jfkoRI4RDnznczQdHv4,meal_delivery
ChIJ0dh4jfkoRI4RDnznczQdHv4,meal_takeaway
ChIJ0dh4jfkoRI4RDnznczQdHv4,restaurant
ChIJ0eGFPwApRI4RLMlKec7jIT0,restaurant
ChIJ0QO4EqiDRo4RT24uuZ4rP4Q,restaurant
ChIJ0xbeMwCDRo4RnAqzxVMXI04,restaurant
ChIJ0XiSgWOCRo4RXmH9J14CjPU,restaurant
ChIJ10dMhkUpRI4RyVly84Ys5Ms,restaurant
ChIJ150Wi1qCRo4ReXSU6B6Egb4,restaurant
ChIJ17bDgZmCRo4R6qZA0jPodhs,bakery
ChIJ17bDgZmCRo4R6qZA0jPodhs,cafe
ChIJ17bDgZmCRo4R6qZA0jPodhs,store
ChIJ19aXvAWDRo4RrqKFcM4o_V0,restaurant
ChIJ1b1HgIWCRo4RtIAQfdKoCX4,restaurant
ChIJ1e_ZP2-DRo4RagKEoRTHMCI,bar
ChIJ1e_ZP2-DRo4RagKEoRTHMCI,meal_delivery
ChIJ1e_ZP2-DRo4RagKEoRTHMCI,restaurant
ChIJ1QrC3yooRI4RZ18CGQQG63s,cafe
ChIJ1QRmjmuDRo4R0WNKKwSt8PU,bar
ChIJ1RwhVO8pRI4RpSFYihpxiMo,bar
ChIJ1RwhVO8pRI4RpSFYihpxiMo,cafe
ChIJ1RwhVO8pRI4RpSFYihpxiMo,lodging
ChIJ1RwhVO8pRI4RpSFYihpxiMo,night_club
ChIJ1RwhVO8pRI4RpSFYihpxiMo,restaurant
ChIJ1RwhVO8pRI4RpSFYihpxiMo,spa
ChIJ1RwhVO8pRI4RpSFYihpxiMo,store
ChIJ1TCqpikoRI4R24IGUHzWRqk,restaurant
ChIJ1Z6IjeaDRo4RWDadirKWOL8,bar
ChIJ1Z6IjeaDRo4RWDadirKWOL8,restaurant
ChIJ1Za3mykoRI4R4jQRfeXfnhs,bar
ChIJ1zH-0oCCRo4R4pDI68PP8EI,bar
ChIJ1zH-0oCCRo4R4pDI68PP8EI,restaurant
ChIJ21eZq7SDRo4RD5cHybE6dHE,restaurant
ChIJ246knFCCRo4RagaQZQfvadQ,restaurant
ChIJ24D7MzaDRo4RjKAdGFRjETI,restaurant
ChIJ27qRqmKCRo4R4x0o6lVK06U,restaurant
ChIJ28QsTEaDRo4RhnuWs8k9XiA,restaurant
ChIJ29zbewCDRo4R2VwhQlZcDVk,park
ChIJ2aSPIHMpRI4RI5fRS7AV0h8,bar
ChIJ2bor_c-DRo4RwGhmXWdK6ys,cafe
ChIJ2bor_c-DRo4RwGhmXWdK6ys,store
ChIJ2bU4EACDRo4R9dpXLbNkynQ,bar
ChIJ2dNTiSYoRI4R0YJJObBA28A,restaurant
ChIJ2SKukXeCRo4R31G0gUVixoE,bar
ChIJ2SscA4GCRo4RFSoXt2L34i4,cafe
ChIJ2SscA4GCRo4RFSoXt2L34i4,store
ChIJ2WIYGGiDRo4R5iNmRQ36ONE,restaurant
ChIJ2yfU2IkpRI4RQrfSkdmVW1g,restaurant
ChIJ3-B_XRspRI4RK6-DiFCJKNo,night_club
ChIJ3-ERKAApRI4R82J9w4BR8l0,cafe
ChIJ3-ERKAApRI4R82J9w4BR8l0,store
ChIJ30UMG4iCRo4RkCdpGsohe5U,bakery
ChIJ30UMG4iCRo4RkCdpGsohe5U,cafe
ChIJ30UMG4iCRo4RkCdpGsohe5U,store
ChIJ34FFHACDRo4Roq6OAim9aBw,cafe
ChIJ34FFHACDRo4Roq6OAim9aBw,restaurant
ChIJ34FFHACDRo4Roq6OAim9aBw,store
ChIJ34WZIQCDRo4R-pITlP3pq2Y,cafe
ChIJ34WZIQCDRo4R-pITlP3pq2Y,store
ChIJ36aQaS2DRo4RAuU_Ji_csOY,bar
ChIJ36Pdy6kpRI4RpFoqHn-49jw,restaurant
ChIJ39dzTq2DRo4R51k5rf2qZ-4,restaurant
ChIJ3dd_W-gpRI4RX-AFsAFKPKI,cafe
ChIJ3dd_W-gpRI4RX-AFsAFKPKI,store
ChIJ3RT3G4GCRo4RNYGYMh8IPZ0,cafe
ChIJ3SDd9mOCRo4RKd3lBWr2lsk,restaurant
ChIJ3SDd9mOCRo4Rrgm-_iqGcLM,restaurant
ChIJ3VmZo32CRo4RWekxBUXk4S0,restaurant
ChIJ3VxbCzspRI4RIwezGJS-vws,cafe
ChIJ3VxbCzspRI4RIwezGJS-vws,store
ChIJ3w-aSUOCRo4RfcO1LDBgybQ,restaurant
ChIJ3wBDcX2CRo4R7QXBZMsi9N0,restaurant
ChIJ3YO2e5qCRo4RjCRRmIPDNdk,restaurant
ChIJ3yuV1GKDRo4Rk0CTM5jl06g,bar
ChIJ3yuV1GKDRo4Rk0CTM5jl06g,restaurant
ChIJ3Z3cdWODRo4R_MVH_4JYW3g,bar
ChIJ4-oXcScoRI4Ru4KiEc9nwms,restaurant
ChIJ4-rQK8eCRo4RIpMExMOptq8,restaurant
ChIJ41VKqfaCRo4RC3rQWVz3q2Y,meal_takeaway
ChIJ41VKqfaCRo4RC3rQWVz3q2Y,restaurant
ChIJ41VKqfaCRo4RCd_HXJRawcQ,restaurant
ChIJ41VKqfaCRo4RDXAusvG7dOc,bar
ChIJ41VKqfaCRo4RDXAusvG7dOc,meal_delivery
ChIJ41VKqfaCRo4RDXAusvG7dOc,restaurant
ChIJ41VKqfaCRo4RNjUsl-ctEXo,bakery
ChIJ41VKqfaCRo4RNjUsl-ctEXo,restaurant
ChIJ41VKqfaCRo4RNjUsl-ctEXo,store
ChIJ41VKqfaCRo4Rqj5FCtN2BXA,restaurant
ChIJ41VKqfaCRo4RXCyeUueFWCU,bar
ChIJ41VKqfaCRo4RXCyeUueFWCU,restaurant
ChIJ45Kuf4KCRo4RdbtkfPvUbqI,restaurant
ChIJ47Mus2ApRI4RnwBk6Fcy6X0,night_club
ChIJ49tCvaaDRo4RJ_BRelwZU78,restaurant
ChIJ4aNO7U8pRI4RZAAMpezY2Q8,night_club
ChIJ4dG662EpRI4R4BkcMLeRMLQ,park
ChIJ4dIvfn2CRo4RQUOIzwxG9TA,cafe
ChIJ4QsItFyCRo4Rg2eN8ngtZOY,restaurant
ChIJ4Xqjd4-CRo4RuAJM9mjUrV4,meal_delivery
ChIJ4Xqjd4-CRo4RuAJM9mjUrV4,meal_takeaway
ChIJ4Xqjd4-CRo4RuAJM9mjUrV4,restaurant
ChIJ4yGRsCkoRI4RHghtLmCTyeI,meal_delivery
ChIJ4yGRsCkoRI4RHghtLmCTyeI,meal_takeaway
ChIJ4yGRsCkoRI4RHghtLmCTyeI,restaurant
ChIJ4YshVYWCRo4RV0Q27FywHk8,park
ChIJ4ZvmdH2CRo4RAo-iQZEGhzc,restaurant
