neighborhood,places_count,average_rating,total_reviews
El Poblado,567,4.37,2650
Guayabal,47,4.49,201
Zona 2,44,4.47,214
Zona 9,30,4.6,135
Medellín,25,4.42,111
La Abadia,16,4.25,73
San Fernando,9,4.21,42
Casaloma,6,4.63,27
Envigado,6,3.95,30
Poblado,4,4.7,17
Los Cristales,4,4.43,19
Zona 1,4,4.35,20
Montiel II,3,4.07,12
La Orquidea,3,4.87,12
,3,4.03,14
Av. El Poblado #7 SUR 170,3,3.77,15
Villa Novoa,2,4.4,7
La Frontera,2,4.2,10
Cra. 11,2,4.7,10
San Lucas Pl. #27-55,2,4.8,10
Tv. 32 Sur #39,2,4.5,9
Itagüi,2,3.35,7
Cl. 9 #50-0,2,3.8,7
Cra. 42 #3 SUR 81 LOCAL 211,2,4.55,10
Floor 3,2,4.6,10
San Jorge,2,4.8,7
Cl. 7 Sur #170,2,3.8,10
Cra. 32d #9-2,2,4.25,7
Villa Isa Tamarindo,2,4.9,7
Cra 44A,1,4.4,5
Tv. 7A #381 local 107,1,4.2,5
Cra. 48 #10 - 15 Local 013,1,4.2,5
Tv 27A Sur #69 #,1,4.4,5
Calle Via Primavera #8a 32,1,4.7,5
Cl 10 #10,1,4.7,2
Local 1. Esquina Carrera 43B,1,4.0,2
Cl. 8 Sur,1,4.4,5
Cra. 37 #8A-40,1,4.6,5
El Poblado #30,1,3.3,2
Av. El Poblado,1,3.9,4
Cra. 43A #31A sur - 37,1,4.9,5
Av. El Poblado #130 Piso 2 Local 213,1,4.9,5
Calle #50c-34,1,4.1,5
Alto de San Miguel,1,4.4,5
inside the food court 4th floor,1,2.8,5
Entrada A La KR43A #7Sur-170,1,2.8,5
Cra. 25 #3 - 1,1,3.9,5
Av. Las Palmas # 30 - 10,1,4.6,5
Loma El Tesoro con Transversal Superior,1,4.5,5
Av. El Poblado #Sur 26,1,4.6,2
3 B sur -70,1,2.3,5
Tv. Superior #4-165 Local: 112,1,3.8,3
Loma Del Esmeraldal,1,4.8,5
Entrada A La CL10 #30-30,1,4.3,2
Barrio Manzanares,1,4.7,5
Cra. 25a #1A Sur-45,1,3.9,5
Cl 16A Sur #82,1,4.9,5
Cra. 43A #7 SUR - 170,1,4.3,5
Cl. 1b Sur #51,1,4.4,5
Cl. 3b Sur #10,1,4.8,5
Terraza 4 estaciones,1,4.7,5
Mall Villagrande,1,4.3,5
Cra. 42 #3 Sur-81 L 205,1,4.3,5
El Poblado #18 Sur-174,1,4.5,5
Cl. 3 #3-45,1,3.0,2
Parque Lleras #38-26,1,3.7,5
Centro Comercial Santafé Medellín,1,4.9,5
Local 3557,1,4.4,5
Cl 16A Sur #42-88,1,4.4,5
Cl 16A Sur #32B - 38,1,4.6,5
El Poblado #18s-135,1,4.0,5
Mall Palmahía #85b - 121,1,4.4,5
27-55 Mall,1,4.7,5
Cra. 38 #8-83,1,4.3,5
Cra. 29c #1 A sur- 80 piso 5,1,4.9,5
Cra. 32 #2Sur 47,1,4.6,5
Cra. 50F #2sur 22,1,4.4,5
Local 3001,1,4.2,5
an IHG Hotel,1,5.0,3
Cl 20ASur #20-189,1,4.7,5
Cl 10 #32-115 Local #149,1,3.0,5
Cra. 29 #70,1,4.7,5
Cra. 25 #3-45,1,4.0,5
Local 225,1,4.6,5
Cl. 20 Sur #27-1,1,1.7,4
Loma El Tesoro con,1,5.0,5
Carulla Oviedo #6 Sur - 15 Local 172,1,3.7,5
Cra. 42 #3 SUR 81 Local,1,4.9,5
Local 1,1,4.4,5
Cra. 48,1,4.1,5
Cl. 3b Sur #40,1,4.7,5
Edificio,1,4.2,5
CC Santafé,1,3.1,5
Cra. 25 #4 165,1,4.5,5
Cl. 1a Sur #45 local1389,1,4.5,5
Cra. 52 #2C-3,1,4.4,5
Calle 47A #5,1,4.0,2
Cra. 29 #1A Sur - 45,1,3.6,5
Cra 33 #5 G 23,1,4.3,5
Amsterdam Plaza,1,4.6,5
Cl 10 #32-115 Piso S1,1,4.3,5
transversal superior cra 25 A N,1,4.7,5
Cl. 15 Sur #46 - 120 Local 109,1,4.6,5
La Calle de Buena Mesa #29A Sur 64,1,4.8,5
Av. El Poblado #Piso 2 LC 213,1,4.9,5
Cra. 42 #7a Sur-177,1,4.3,5
Local N4-52/53/54 C.C. Santafé,1,4.1,5
