place_id,day_es,day_en,is_open,open_time,close_time,raw
ChIJ-1IbBmGCRo4RpY5njdWV_0M,lunes,Monday,True,9:00,17:00,lunes: 9:00–17:00
ChIJ-1IbBmGCRo4RpY5njdWV_0M,martes,Tuesday,False,,,martes: Cerrado
ChIJ-1IbBmGCRo4RpY5njdWV_0M,miércoles,Wednesday,False,,,miércoles: Cerrado
ChIJ-1IbBmGCRo4RpY5njdWV_0M,jueves,Thursday,False,,,jueves: Cerrado
ChIJ-1IbBmGCRo4RpY5njdWV_0M,viernes,Friday,False,,,viernes: Cerrado
ChIJ-1IbBmGCRo4RpY5njdWV_0M,sábado,Saturday,False,,,sábado: Cerrado
ChIJ-1IbBmGCRo4RpY5njdWV_0M,domingo,Sunday,False,,,domingo: Cerrado
ChIJ-63vYOUpRI4RUSOyAzRl9X8,lunes,Monday,False,,,lunes: Cerrado
ChIJ-63vYOUpRI4RUSOyAzRl9X8,martes,Tuesday,False,,,martes: Cerrado
ChIJ-63vYOUpRI4RUSOyAzRl9X8,miércoles,Wednesday,False,,,miércoles: Cerrado
ChIJ-63vYOUpRI4RUSOyAzRl9X8,jueves,Thursday,True,21:00,4:00,jueves: 21:00–4:00
ChIJ-63vYOUpRI4RUSOyAzRl9X8,viernes,Friday,True,21:00,4:00,viernes: 21:00–4:00
ChIJ-63vYOUpRI4RUSOyAzRl9X8,sábado,Saturday,True,21:00,4:00,sábado: 21:00–4:00
ChIJ-63vYOUpRI4RUSOyAzRl9X8,domingo,Sunday,False,,,domingo: Cerrado
ChIJ-6ntz-qCRo4RdoGDksNP9VM,lunes,Monday,True,,,lunes: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,martes,Tuesday,True,,,martes: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,miércoles,Wednesday,True,,,miércoles: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,jueves,Thursday,True,,,jueves: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,viernes,Friday,True,,,viernes: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,sábado,Saturday,True,,,sábado: Abierto 24 horas
ChIJ-6ntz-qCRo4RdoGDksNP9VM,domingo,Sunday,True,,,domingo: Abierto 24 horas
ChIJ-8XP5ikoRI4RbGXZfyvahi4,lunes,Monday,True,12:00,24:00,lunes: 12:00–24:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,martes,Tuesday,True,12:00,24:00,martes: 12:00–24:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,miércoles,Wednesday,True,12:00,24:00,miércoles: 12:00–24:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,jueves,Thursday,True,12:00,2:00,jueves: 12:00–2:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,viernes,Friday,True,12:00,2:00,viernes: 12:00–2:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,sábado,Saturday,True,12:00,2:00,sábado: 12:00–2:00
ChIJ-8XP5ikoRI4RbGXZfyvahi4,domingo,Sunday,True,12:00,24:00,domingo: 12:00–24:00
ChIJ-bKp832CRo4RvY-77_5PkOY,lunes,Monday,True,12:00,"15:00, 18:30","lunes: 12:00–15:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,martes,Tuesday,True,12:00,"15:00, 18:30","martes: 12:00–15:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,miércoles,Wednesday,True,12:00,"15:00, 18:30","miércoles: 12:00–15:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,jueves,Thursday,True,12:00,"15:00, 18:30","jueves: 12:00–15:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,viernes,Friday,True,12:00,"15:00, 18:30","viernes: 12:00–15:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,sábado,Saturday,True,13:00,"16:00, 18:30","sábado: 13:00–16:00, 18:30–22:30"
ChIJ-bKp832CRo4RvY-77_5PkOY,domingo,Sunday,False,,,domingo: Cerrado
ChIJ-dmt-YCCRo4RrTjzhjL0mns,lunes,Monday,True,12:00,22:00,lunes: 12:00–22:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,martes,Tuesday,True,12:00,22:00,martes: 12:00–22:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,miércoles,Wednesday,True,12:00,22:00,miércoles: 12:00–22:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,jueves,Thursday,True,12:00,22:00,jueves: 12:00–22:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,viernes,Friday,True,12:00,23:00,viernes: 12:00–23:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,sábado,Saturday,True,12:00,23:00,sábado: 12:00–23:00
ChIJ-dmt-YCCRo4RrTjzhjL0mns,domingo,Sunday,True,12:00,22:00,domingo: 12:00–22:00
ChIJ-enU0UWDRo4RS6prCfOlQkY,lunes,Monday,True,12:00,22:30,lunes: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,martes,Tuesday,True,12:00,22:30,martes: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,miércoles,Wednesday,True,12:00,22:30,miércoles: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,jueves,Thursday,True,12:00,22:30,jueves: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,viernes,Friday,True,12:00,22:30,viernes: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,sábado,Saturday,True,12:00,22:30,sábado: 12:00–22:30
ChIJ-enU0UWDRo4RS6prCfOlQkY,domingo,Sunday,True,12:00,22:30,domingo: 12:00–22:30
ChIJ-fNBs2wpRI4RvIBO8cksDLg,lunes,Monday,True,11:00,21:00,lunes: 11:00–21:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,martes,Tuesday,True,11:00,21:00,martes: 11:00–21:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,miércoles,Wednesday,True,11:00,21:00,miércoles: 11:00–21:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,jueves,Thursday,True,11:00,21:00,jueves: 11:00–21:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,viernes,Friday,True,11:00,22:00,viernes: 11:00–22:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,sábado,Saturday,True,11:00,22:00,sábado: 11:00–22:00
ChIJ-fNBs2wpRI4RvIBO8cksDLg,domingo,Sunday,True,11:00,21:00,domingo: 11:00–21:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,lunes,Monday,True,6:00,20:00,lunes: 6:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,martes,Tuesday,True,6:00,20:00,martes: 6:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,miércoles,Wednesday,True,6:00,20:00,miércoles: 6:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,jueves,Thursday,True,6:00,20:00,jueves: 6:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,viernes,Friday,True,6:00,20:00,viernes: 6:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,sábado,Saturday,True,7:00,20:00,sábado: 7:00–20:00
ChIJ-TnstaGDRo4RFVjrMySUyzM,domingo,Sunday,True,7:00,20:00,domingo: 7:00–20:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,lunes,Monday,True,7:30,19:00,lunes: 7:30–19:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,martes,Tuesday,True,7:30,19:00,martes: 7:30–19:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,miércoles,Wednesday,True,7:30,19:00,miércoles: 7:30–19:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,jueves,Thursday,True,7:30,19:00,jueves: 7:30–19:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,viernes,Friday,True,7:30,19:00,viernes: 7:30–19:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,sábado,Saturday,True,7:30,17:00,sábado: 7:30–17:00
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,domingo,Sunday,True,7:30,17:00,domingo: 7:30–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,lunes,Monday,True,8:00,17:00,lunes: 8:00–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,martes,Tuesday,True,8:00,17:00,martes: 8:00–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,miércoles,Wednesday,True,8:00,17:00,miércoles: 8:00–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,jueves,Thursday,True,8:00,17:00,jueves: 8:00–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,viernes,Friday,True,8:00,17:00,viernes: 8:00–17:00
ChIJ-xyNYwCDRo4RGfJJECi-qaA,sábado,Saturday,False,,,sábado: Cerrado
ChIJ-xyNYwCDRo4RGfJJECi-qaA,domingo,Sunday,False,,,domingo: Cerrado
ChIJ-ZOOUUkpRI4RFjporsL3h2U,lunes,Monday,True,8:30,21:00,lunes: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,martes,Tuesday,True,8:30,21:00,martes: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,miércoles,Wednesday,True,8:30,21:00,miércoles: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,jueves,Thursday,True,8:30,21:00,jueves: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,viernes,Friday,True,8:30,21:00,viernes: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,sábado,Saturday,True,8:30,21:00,sábado: 8:30–21:00
ChIJ-ZOOUUkpRI4RFjporsL3h2U,domingo,Sunday,True,8:30,16:00,domingo: 8:30–16:00
ChIJ01N_mJCCRo4RyagqbQ6tYZA,lunes,Monday,True,12:00,"14:30, 19:00","lunes: 12:00–14:30, 19:00–21:30"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,martes,Tuesday,True,12:00,"14:30, 19:00","martes: 12:00–14:30, 19:00–21:30"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,miércoles,Wednesday,True,12:00,"14:30, 19:00","miércoles: 12:00–14:30, 19:00–21:30"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,jueves,Thursday,True,12:00,"14:30, 19:00","jueves: 12:00–14:30, 19:00–21:30"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,viernes,Friday,True,12:00,"14:30, 19:00","viernes: 12:00–14:30, 19:00–23:00"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,sábado,Saturday,True,12:00,"16:00, 19:00","sábado: 12:00–16:00, 19:00–23:00"
ChIJ01N_mJCCRo4RyagqbQ6tYZA,domingo,Sunday,True,12:00,16:30,domingo: 12:00–16:30
ChIJ01zQYxmDRo4RFbcFkK-A0-w,lunes,Monday,True,10:00,21:00,lunes: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,martes,Tuesday,True,10:00,21:00,martes: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,miércoles,Wednesday,True,10:00,21:00,miércoles: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,jueves,Thursday,True,10:00,21:00,jueves: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,viernes,Friday,True,10:00,21:00,viernes: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,sábado,Saturday,True,10:00,21:00,sábado: 10:00–21:00
ChIJ01zQYxmDRo4RFbcFkK-A0-w,domingo,Sunday,True,10:00,21:00,domingo: 10:00–21:00
ChIJ06uOfyeDRo4RZkNLGUDHfdk,lunes,Monday,True,8:30,19:30,lunes: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,martes,Tuesday,True,8:30,19:30,martes: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,miércoles,Wednesday,True,8:30,19:30,miércoles: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,jueves,Thursday,True,8:30,19:30,jueves: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,viernes,Friday,True,8:30,19:30,viernes: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,sábado,Saturday,True,8:30,19:30,sábado: 8:30–19:30
ChIJ06uOfyeDRo4RZkNLGUDHfdk,domingo,Sunday,True,10:00,19:00,domingo: 10:00–19:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,lunes,Monday,True,9:00,18:00,lunes: 9:00–18:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,martes,Tuesday,True,9:00,18:00,martes: 9:00–18:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,miércoles,Wednesday,True,9:00,18:00,miércoles: 9:00–18:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,jueves,Thursday,True,9:00,18:00,jueves: 9:00–18:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,viernes,Friday,True,9:00,18:00,viernes: 9:00–18:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,sábado,Saturday,True,10:00,13:00,sábado: 10:00–13:00
ChIJ09cPPigoRI4RV1Dz2mfvQDI,domingo,Sunday,False,,,domingo: Cerrado
ChIJ0cMxiykoRI4RleNFm5yaIjw,lunes,Monday,False,,,lunes: Cerrado
ChIJ0cMxiykoRI4RleNFm5yaIjw,martes,Tuesday,False,,,martes: Cerrado
ChIJ0cMxiykoRI4RleNFm5yaIjw,miércoles,Wednesday,False,,,miércoles: Cerrado
ChIJ0cMxiykoRI4RleNFm5yaIjw,jueves,Thursday,False,,,jueves: Cerrado
ChIJ0cMxiykoRI4RleNFm5yaIjw,viernes,Friday,True,21:00,4:00,viernes: 21:00–4:00
ChIJ0cMxiykoRI4RleNFm5yaIjw,sábado,Saturday,True,21:00,4:00,sábado: 21:00–4:00
ChIJ0cMxiykoRI4RleNFm5yaIjw,domingo,Sunday,False,,,domingo: Cerrado
ChIJ0de-SxiDRo4R8xQje9tRjI0,lunes,Monday,False,,,lunes: Cerrado
ChIJ0de-SxiDRo4R8xQje9tRjI0,martes,Tuesday,False,,,martes: Cerrado
ChIJ0de-SxiDRo4R8xQje9tRjI0,miércoles,Wednesday,False,,,miércoles: Cerrado
ChIJ0de-SxiDRo4R8xQje9tRjI0,jueves,Thursday,False,,,jueves: Cerrado
