place_id,name,address,neighborhood,lat,lng,rating,price_level,review_count
ChIJ-1IbBmGCRo4RpY5njdWV_0M,Arte Alto | Galería de arte,"Cl. 9 #43 c - 50, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.210606299999999,-75.5726244,5.0,,5
ChIJ-5iJ83iCRo4RfDv9AusSg8Y,Restaurante Donde La Suegra,"Guayabal, Medellín, Antioquia, Colombia",Medellín,6.2060342,-75.5826051,5.0,,3
ChIJ-5U1CTWDRo4Rq225QIQCdTU,Sazón Leña,"El Tesoro, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2040342,-75.5554861,1.8,,5
ChIJ-63vYOUpRI4RUSOyAzRl9X8,Lollipop club,"Cl 10 #40-21, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2097093,-75.56831319999999,5.0,,5
ChIJ-6ntz-qCRo4RdoGDksNP9VM,Parque Roa,"El Poblado, Medellín, Santa Elena, Medellín, Antioquia, Colombia",Medellín,6.185493,-75.55306399999999,4.5,,5
ChIJ-8XP5ikoRI4RbGXZfyvahi4,37 Park Medellín | Restaurante & Bar,"Cra. 37 #8a-4, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2076047,-75.5670269,4.5,2,5
ChIJ-bKp832CRo4RvY-77_5PkOY,Restaurante La Provincia,"Cra. 42 #3 Sur 81 Local 303, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.199921,-75.5723366,4.7,,5
ChIJ-dmt-YCCRo4RrTjzhjL0mns,Chef Burger Artesanal - Milla de Oro,"Cl. 3 #43a-37, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.204413799999999,-75.5719455,4.7,2,5
ChIJ-enU0UWDRo4RS6prCfOlQkY,Fit and Fat Cristo Rey,"Cl. 3 Sur #50e 12 50e 12, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia",Guayabal,6.2046103,-75.58261019999999,4.7,,5
ChIJ-fNBs2wpRI4RvIBO8cksDLg,Restaurante Nuquimar,"AMSTERDAM PLAZA, Cra. 25 #4 - 165 LOCAL 154, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",Cra. 25 #4 - 165 LOCAL 154,6.2007783,-75.5565484,4.5,2,5
ChIJ-TnstaGDRo4RFVjrMySUyzM,Tostao' Complex las Vegas,"Carrera 48 # 25 AA sur 70 Mall Complex, Zona 2, Envigado, Antioquia, Colombia",Zona 2,6.1828264,-75.58531599999999,4.4,,5
ChIJ-xc_QV-DRo4RGr2uwKxAKSM,Tres Helenas Coffee Bar,"Cra. 34 #7-36, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2063966,-75.5646676,4.6,,5
ChIJ-xyNYwCDRo4RGfJJECi-qaA,Conexión Cafe,"165 el, Cl 16A Sur #48-233 a 48, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",Cl 16A Sur #48-233 a 48,6.19104,-75.58174369999999,5.0,,2
ChIJ-ZOOUUkpRI4RFjporsL3h2U,Tejipaz - Café de la Memoria - Provenza,"Cra. 36 #8A-5, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2075493,-75.56672710000001,5.0,,5
ChIJ01N_mJCCRo4RyagqbQ6tYZA,CUZCO LA SUPERIOR,"Edificio Platinum, Cra. 25 #1 a Sur 155 local 9901, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",Cra. 25 #1 a Sur 155 local 9901,6.1962886,-75.5583122,4.7,3,5
ChIJ01zQYxmDRo4RFbcFkK-A0-w,Sr WOK ORIENTAL BUFFET,"Cl. 6 Sur #15, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.199163599999999,-75.5741194,2.3,,5
ChIJ06uOfyeDRo4RZkNLGUDHfdk,Milonga Repostería Mall Zona 2 Sur,"Carrera 32 # 2 Sur - 47 Local 115 Mall Zona 2 Sur, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.1985094,-75.5655565,4.1,,5
ChIJ09cPPigoRI4RV1Dz2mfvQDI,Color y Forma,"Cl. 2C #54-34, Barrio Manzanares, Medellín, Guayabal, Medellín, Antioquia, Colombia",Barrio Manzanares,6.210420800000001,-75.58584929999999,4.7,,5
ChIJ0cMxiykoRI4RleNFm5yaIjw,SIENTE EL BAJO,"Cra. 36 #10-37, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.209311,-75.56596069999999,4.4,2,5
ChIJ0de-SxiDRo4R8xQje9tRjI0,MEDALLO CLUB,"Carrera 35 # 7 -21 Provenza, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.2063733,-75.56556359999999,4.7,,5
ChIJ0dh4jfkoRI4RDnznczQdHv4,Archies SantaFé Medellín,"Cra. 43A #7 SUR 170 LOCAL 4252, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.197681299999999,-75.5743742,4.1,2,5
ChIJ0eGFPwApRI4RLMlKec7jIT0,FRiKN,"Cra. 48 #5-18, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.207858799999999,-75.5765474,3.0,,5
ChIJ0QO4EqiDRo4RT24uuZ4rP4Q,Los Perritos del Mono - San lucas,"Cl. 20 Sur #27-55, La Abadia, Envigado, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",La Abadia,6.1809242,-75.5685611,2.3,,2
ChIJ0xbeMwCDRo4RnAqzxVMXI04,Asados Alonso,"Av. Las Palmas, Medellín, Santa Elena, Medellín, Antioquia, Colombia",Medellín,6.1952241,-75.5474337,4.9,,5
ChIJ0XiSgWOCRo4RXmH9J14CjPU,Restaurante Portón de La Aguacatala,"Rotonda La Aguacatala, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.194471,-75.57975,2.3,,4
ChIJ10dMhkUpRI4RyVly84Ys5Ms,Burger & Grill - Poblado Las Vegas,"Cra. 48 #5-18, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.207858799999999,-75.5765474,4.1,,5
ChIJ150Wi1qCRo4ReXSU6B6Egb4,Frisby Villa Grande,"Mall Villagrande, Cra. 43A #25 SUR 11 LC 102 - 103, Zona 2, Envigado, Antioquia, Colombia",Cra. 43A #25 SUR 11 LC 102 - 103,6.181953399999999,-75.58208549999999,4.2,2,5
ChIJ17bDgZmCRo4R6qZA0jPodhs,Starbucks Tesoro Medellín,"Cra. 25a #1A SUR - 45 LOCAL 1001, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.1974022,-75.55810210000001,4.5,2,5
ChIJ19aXvAWDRo4RrqKFcM4o_V0,La Llorona Taquería,"Cl. 17A Sur #44-46, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.187578100000001,-75.5797743,5.0,,5
ChIJ1b1HgIWCRo4RtIAQfdKoCX4,Frisby Mall Visitacion,"# 4s 80 Local 107, Cra. 32, El Poblado, Medellín, Antioquia, Colombia",Cra. 32,6.196653599999999,-75.5654115,4.2,2,5
ChIJ1e_ZP2-DRo4RagKEoRTHMCI,NATTIVO COCINA ELEMENTAL,"Calle 20 Sur #No. 38 - 195, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.1818766,-75.5754761,4.4,,5
ChIJ1QrC3yooRI4RZ18CGQQG63s,Urbania Café,"Cl. 8 # 43B - 132, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",El Poblado,6.209790099999999,-75.5727771,4.7,2,5
ChIJ1QRmjmuDRo4R0WNKKwSt8PU,El granero AO,"Dg. 29 #26a Sur-105, Villa Isa Tamarindo, Envigado, Antioquia, Colombia",Villa Isa Tamarindo,6.1765856,-75.5779683,4.8,,2
